n,interpreter,optLnot,optIndexing,optAssi,translateMS,loadMS,analyzeMS
7,SWIProlog,false,false,false,2.994776,5.575933,0.109664
7,ECLiPSe,false,false,false,2.994776,123.506579,0.26552
7,JIProlog,false,false,false,2.994776,50.498635,1.535295
7,SWIProlog,true,true,true,3.5423910000000003,7.8943900000000005,0.19006
7,ECLiPSe,true,true,true,3.5423910000000003,146.811742,0.289146
7,JIProlog,true,true,true,3.5423910000000003,69.426765,0.8466330000000001
7,SWIProlog,true,false,false,3.787107,8.336571,0.107548
7,ECLiPSe,true,false,false,3.787107,135.406698,0.32299700000000003
7,JIProlog,true,false,false,3.787107,81.35191999999999,1.0998119999999998
7,SWIProlog,false,true,false,2.778622,5.623536,0.108254
7,ECLiPSe,false,true,false,2.778622,129.31277,0.27927300000000005
7,JIProlog,false,true,false,2.778622,53.771275,1.604054
7,SWIProlog,false,false,true,2.8297510000000003,5.285024,0.10613800000000001
7,ECLiPSe,false,false,true,2.8297510000000003,128.127977,0.258116
7,JIProlog,false,false,true,2.8297510000000003,42.434285,1.510258
7,SWIProlog,false,false,false,2.554358,5.869662999999999,0.131879
7,ECLiPSe,false,false,false,2.554358,125.029532,0.26552
7,JIProlog,false,false,false,2.554358,50.084664,1.483812
7,SWIProlog,true,true,true,3.390413,7.87429,0.10931199999999999
7,ECLiPSe,true,true,true,3.390413,144.654432,0.32017599999999996
7,JIProlog,true,true,true,3.390413,66.93905199999999,0.8409909999999999
7,SWIProlog,true,false,false,3.824484,7.881343,0.1146
7,ECLiPSe,true,false,false,3.824484,145.90939600000002,0.311008
7,JIProlog,true,false,false,3.824484,79.31732000000001,0.961586
7,SWIProlog,false,true,false,3.895007,6.125310000000001,0.109664
7,ECLiPSe,false,true,false,3.895007,132.84387700000002,0.29231999999999997
7,JIProlog,false,true,false,3.895007,54.576652,1.399537
7,SWIProlog,false,false,true,2.5360210000000003,5.888352,0.108253
7,ECLiPSe,false,false,true,2.5360210000000003,129.924561,0.251768
7,JIProlog,false,false,true,2.5360210000000003,41.213171,1.3921320000000001
7,SWIProlog,false,false,false,2.870302,5.292076,0.108606
7,ECLiPSe,false,false,false,2.870302,124.328177,0.260584
7,JIProlog,false,false,false,2.870302,50.735241,1.64778
7,SWIProlog,true,true,true,3.581178,8.031558,0.108253
7,ECLiPSe,true,true,true,3.581178,149.212359,0.326524
7,JIProlog,true,true,true,3.581178,67.140043,0.830061
7,SWIProlog,true,false,false,3.705652,9.508317,0.13329
7,ECLiPSe,true,false,false,3.705652,144.56381,0.325818
7,JIProlog,true,false,false,3.705652,78.56201399999999,0.9753390000000001
7,SWIProlog,false,true,false,2.7944899999999997,5.792087,0.317003
7,ECLiPSe,false,true,false,2.7944899999999997,131.03742,0.28562
7,JIProlog,false,true,false,2.7944899999999997,54.385533,1.43903
7,SWIProlog,false,false,true,2.597377,5.220142,0.149157
7,ECLiPSe,false,false,true,2.597377,125.953388,0.238017
7,JIProlog,false,false,true,2.597377,42.487883000000004,1.5529249999999999
7,SWIProlog,false,false,false,2.991603,5.312176,0.112485
7,ECLiPSe,false,false,false,2.991603,129.26093600000002,0.228496
7,JIProlog,false,false,false,2.991603,51.88794600000001,1.545873
7,SWIProlog,true,true,true,3.863272,8.199403,0.108253
7,ECLiPSe,true,true,true,3.863272,143.772889,0.45240800000000003
7,JIProlog,true,true,true,3.863272,65.54550900000001,0.8565069999999999
7,SWIProlog,true,false,false,3.477862,8.547789,0.11178
7,ECLiPSe,true,false,false,3.477862,143.419215,0.30536599999999997
7,JIProlog,true,false,false,3.477862,79.040515,0.943956
7,SWIProlog,false,true,false,3.0995030000000003,5.971921999999999,0.112837
7,ECLiPSe,false,true,false,3.0995030000000003,151.13658999999998,0.290204
7,JIProlog,false,true,false,3.0995030000000003,54.41339,1.323372
7,SWIProlog,false,false,true,3.04908,5.378115,0.237663
7,ECLiPSe,false,false,true,3.04908,128.890335,0.242954
7,JIProlog,false,false,true,3.04908,42.161359,1.415052
7,SWIProlog,false,false,false,2.877355,5.345321,0.132231
7,ECLiPSe,false,false,false,2.877355,127.588474,0.276804
7,JIProlog,false,false,false,2.877355,49.738394,1.628738
7,SWIProlog,true,true,true,3.116781,7.372517,0.13752
7,ECLiPSe,true,true,true,3.116781,143.432614,0.28844099999999995
7,JIProlog,true,true,true,3.116781,65.980639,0.8709640000000001
7,SWIProlog,true,false,false,3.430963,8.126765,0.107195
7,ECLiPSe,true,false,false,3.430963,144.919952,0.336044
7,JIProlog,true,false,false,3.430963,79.394895,0.923856
7,SWIProlog,false,true,false,2.59773,5.540671000000001,0.102964
7,ECLiPSe,false,true,false,2.59773,132.097387,0.30677699999999997
7,JIProlog,false,true,false,2.59773,55.244156000000004,1.360749
7,SWIProlog,false,false,true,2.400969,5.139393,0.104375
7,ECLiPSe,false,false,true,2.400969,130.576197,0.299724
7,JIProlog,false,false,true,2.400969,41.01747,1.3938949999999999
7,SWIProlog,false,false,false,2.684121,5.382699,0.14422
7,ECLiPSe,false,false,false,2.684121,124.91881,0.233785
7,JIProlog,false,false,false,2.684121,52.679218999999996,1.43092
7,SWIProlog,true,true,true,3.121718,7.4842960000000005,0.10507999999999999
7,ECLiPSe,true,true,true,3.121718,150.789263,0.290204
7,JIProlog,true,true,true,3.121718,66.408716,0.814898
7,SWIProlog,true,false,false,3.4602310000000003,7.769563,0.096264
7,ECLiPSe,true,false,false,3.4602310000000003,136.357001,0.30783499999999997
7,JIProlog,true,false,false,3.4602310000000003,79.29510400000001,0.9573550000000001
7,SWIProlog,false,true,false,2.681652,5.329806,0.082865
7,ECLiPSe,false,true,false,2.681652,136.38450500000002,0.22602699999999998
7,JIProlog,false,true,false,2.681652,54.33934,1.518721
7,SWIProlog,false,false,true,2.597377,5.193696,0.116716
7,ECLiPSe,false,false,true,2.597377,130.501443,0.32476
7,JIProlog,false,false,true,2.597377,41.085877999999994,1.397068
7,SWIProlog,false,false,false,2.72714,5.316759,0.169961
7,ECLiPSe,false,false,false,2.72714,128.302523,0.261995
7,JIProlog,false,false,false,2.72714,50.019076,1.754623
7,SWIProlog,true,true,true,3.018755,7.718786,0.14175200000000002
7,ECLiPSe,true,true,true,3.018755,142.775688,0.28279899999999997
7,JIProlog,true,true,true,3.018755,67.241597,0.969696
7,SWIProlog,true,false,false,3.970468,8.016748,0.12165300000000001
7,ECLiPSe,true,false,false,3.970468,135.173971,0.28174099999999996
7,JIProlog,true,false,false,3.970468,78.202697,1.0162419999999999
7,SWIProlog,false,true,false,3.172143,6.407756,0.108606
7,ECLiPSe,false,true,false,3.172143,132.373134,0.259879
7,JIProlog,false,true,false,3.172143,54.012817000000005,1.421752
7,SWIProlog,false,false,true,2.405201,4.419349,0.08216
7,ECLiPSe,false,false,true,2.405201,129.099437,0.246127
7,JIProlog,false,false,true,2.405201,43.124708,1.685157
7,SWIProlog,false,false,false,2.7285500000000003,6.5445709999999995,0.15409399999999998
7,ECLiPSe,false,false,false,2.7285500000000003,129.293024,0.266931
7,JIProlog,false,false,false,2.7285500000000003,49.81773200000001,1.489454
7,SWIProlog,true,true,true,3.1954160000000003,7.585497,0.125532
7,ECLiPSe,true,true,true,3.1954160000000003,144.418179,0.288793
7,JIProlog,true,true,true,3.1954160000000003,66.924241,0.811372
7,SWIProlog,true,false,false,3.212694,8.197640999999999,0.187945
7,ECLiPSe,true,false,false,3.212694,139.50551800000002,0.29725599999999996
7,JIProlog,true,false,false,3.212694,78.48091099999999,0.931967
7,SWIProlog,false,true,false,2.532496,5.792793,0.10578499999999999
7,ECLiPSe,false,true,false,2.532496,129.640352,0.28279899999999997
7,JIProlog,false,true,false,2.532496,54.088629999999995,1.3395920000000001
7,SWIProlog,false,false,true,2.5744569999999998,5.374941,0.104727
7,ECLiPSe,false,false,true,2.5744569999999998,131.893927,0.245774
7,JIProlog,false,false,true,2.5744569999999998,41.278053,1.5028540000000001
7,SWIProlog,false,false,false,2.713388,5.338269,0.107901
7,ECLiPSe,false,false,false,2.713388,132.966588,0.277863
7,JIProlog,false,false,false,2.713388,48.579341,1.607581
7,SWIProlog,true,true,true,3.2758119999999997,7.7085609999999996,0.108253
7,ECLiPSe,true,true,true,3.2758119999999997,144.87763800000002,0.30748200000000003
7,JIProlog,true,true,true,3.2758119999999997,64.669609,0.9333769999999999
7,SWIProlog,true,false,false,3.550501,8.121828,0.133994
7,ECLiPSe,true,false,false,3.550501,142.66003,0.266578
7,JIProlog,true,false,false,3.550501,78.526047,1.055382
7,SWIProlog,false,true,false,2.806832,5.910566,0.113543
7,ECLiPSe,false,true,false,2.806832,132.51947,0.261642
7,JIProlog,false,true,false,2.806832,54.574183,1.355107
7,SWIProlog,false,false,true,2.5663470000000004,5.11471,0.152331
7,ECLiPSe,false,false,true,2.5663470000000004,129.312771,0.246832
7,JIProlog,false,false,true,2.5663470000000004,41.502669999999995,1.5374100000000002
7,SWIProlog,false,false,false,2.5642310000000004,5.790324,0.110721
7,ECLiPSe,false,false,false,2.5642310000000004,128.144551,0.267283
7,JIProlog,false,false,false,2.5642310000000004,49.766602,1.584661
7,SWIProlog,true,true,true,3.074115,7.791778,0.107548
7,ECLiPSe,true,true,true,3.074115,147.695401,0.34485899999999997
7,JIProlog,true,true,true,3.074115,65.922809,0.825124
7,SWIProlog,true,false,false,3.21763,8.275216,0.145983
7,ECLiPSe,true,false,false,3.21763,140.69912599999998,0.30783499999999997
7,JIProlog,true,false,false,3.21763,79.967192,0.9464239999999999
7,SWIProlog,false,true,false,2.7144459999999997,5.698291,0.13963599999999998
7,ECLiPSe,false,true,false,2.7144459999999997,140.28797500000002,0.30995100000000003
7,JIProlog,false,true,false,2.7144459999999997,55.898965,1.520837
7,SWIProlog,false,false,true,2.618886,5.031845000000001,0.102964
7,ECLiPSe,false,false,true,2.618886,137.756538,0.22884800000000002
7,JIProlog,false,false,true,2.618886,42.385976,1.439383
147,SWIProlog,false,false,false,17.146708,52.740927000000006,1.42422
147,ECLiPSe,false,false,false,17.146708,355.3364,0.771879
147,JIProlog,false,false,false,17.146708,821.620924,132.532869
147,SWIProlog,true,true,true,26.505516,87.19337300000001,0.771879
147,ECLiPSe,true,true,true,26.505516,524.425428,0.6967720000000001
147,JIProlog,true,true,true,26.505516,1054.254007,306.16501500000004
147,SWIProlog,true,false,false,16.861441,107.815122,1.479228
