n,interpreter,optLnot,optIndexing,optAssi,translateMS,loadMS,analyzeMS
106,SWIProlog,false,false,false,7.578444999999999,35.054010000000005,0.215802
106,ECLiPSe,false,false,false,7.578444999999999,279.659147,0.258115
106,JIProlog,false,false,false,7.578444999999999,484.505303,3.900297
106,SWIProlog,true,true,true,2.798369,9.0344,0.091681
106,ECLiPSe,true,true,true,2.798369,141.28976,0.43477699999999997
106,JIProlog,true,true,true,2.798369,76.712537,0.575824
106,SWIProlog,true,false,false,8.673674,69.801597,0.24330600000000002
106,ECLiPSe,true,false,false,8.673674,446.073575,0.241895
106,JIProlog,true,false,false,8.673674,931.048211,5.232131000000001
106,SWIProlog,false,true,false,5.127051000000001,36.16017,0.15479900000000002
106,ECLiPSe,false,true,false,5.127051000000001,295.970151,0.25670499999999996
106,JIProlog,false,true,false,5.127051000000001,538.648588,1.446083
106,SWIProlog,false,false,true,2.342435,6.666930000000001,0.098027
106,ECLiPSe,false,false,true,2.342435,127.821201,0.271868
106,JIProlog,false,false,true,2.342435,52.380906,0.99438
106,SWIProlog,false,false,false,4.6337399999999995,35.959178,0.190766
106,ECLiPSe,false,false,false,4.6337399999999995,278.371389,0.254589
106,JIProlog,false,false,false,4.6337399999999995,469.73488199999997,3.921454
106,SWIProlog,true,true,true,2.530732,9.337651,0.09450199999999999
106,ECLiPSe,true,true,true,2.530732,145.146685,0.407625
106,JIProlog,true,true,true,2.530732,76.040096,0.575824
106,SWIProlog,true,false,false,8.614081,67.425663,0.229554
106,ECLiPSe,true,false,false,8.614081,443.55024699999996,0.233785
106,JIProlog,true,false,false,8.614081,924.705335,5.344616
106,SWIProlog,false,true,false,4.962027,36.568853000000004,0.16467199999999999
106,ECLiPSe,false,true,false,4.962027,301.29537400000004,0.288088
106,JIProlog,false,true,false,4.962027,530.443191,1.074424
106,SWIProlog,false,false,true,2.240176,6.656352,0.092033
106,ECLiPSe,false,false,true,2.240176,129.695713,0.22602699999999998
106,JIProlog,false,false,true,2.240176,52.215175,1.43762
106,SWIProlog,false,false,false,4.54488,34.333966000000004,0.18724000000000002
106,ECLiPSe,false,false,false,4.54488,281.46102,0.28103500000000003
106,JIProlog,false,false,false,4.54488,469.44644,3.853047
106,SWIProlog,true,true,true,2.643217,9.382433,0.091328
106,ECLiPSe,true,true,true,2.643217,141.90049299999998,0.448529
106,JIProlog,true,true,true,2.643217,78.374069,0.5627770000000001
106,SWIProlog,true,false,false,9.403943,70.389409,0.229201
106,ECLiPSe,true,false,false,9.403943,446.400097,0.242601
106,JIProlog,true,false,false,9.403943,927.1105359999999,5.460979999999999
106,SWIProlog,false,true,false,5.041366,36.051564,0.228849
106,ECLiPSe,false,true,false,5.041366,298.800255,0.259527
106,JIProlog,false,true,false,5.041366,531.033824,1.129432
106,SWIProlog,false,false,true,2.181994,6.679977,0.098027
106,ECLiPSe,false,false,true,2.181994,128.587437,0.271163
106,JIProlog,false,false,true,2.181994,52.412993,0.987681
106,SWIProlog,false,false,false,4.744462,35.54168,0.20557599999999998
106,ECLiPSe,false,false,false,4.744462,284.951575,0.300783
106,JIProlog,false,false,false,4.744462,474.14047899999997,3.813905
106,SWIProlog,true,true,true,2.603371,9.239271,0.092738
106,ECLiPSe,true,true,true,2.603371,145.276096,0.395283
106,JIProlog,true,true,true,2.603371,75.906808,0.5402089999999999
106,SWIProlog,true,false,false,8.036142,66.485586,0.240132
106,ECLiPSe,true,false,false,8.036142,432.514745,0.252474
106,JIProlog,true,false,false,8.036142,903.929846,4.973311
106,SWIProlog,false,true,false,5.405265999999999,37.666197,0.18512399999999998
106,ECLiPSe,false,true,false,5.405265999999999,304.180134,0.262347
106,JIProlog,false,true,false,5.405265999999999,530.225979,1.082886
106,SWIProlog,false,false,true,2.2020929999999996,6.437376,0.092738
106,ECLiPSe,false,false,true,2.2020929999999996,129.053597,0.226381
106,JIProlog,false,false,true,2.2020929999999996,52.73458,0.951361
106,SWIProlog,false,false,false,4.503272,34.90309,0.184771
106,ECLiPSe,false,false,false,4.503272,283.22481,0.252121
106,JIProlog,false,false,false,4.503272,474.408819,4.05016
106,SWIProlog,true,true,true,2.630876,9.150412000000001,0.08639100000000001
106,ECLiPSe,true,true,true,2.630876,142.143093,0.38752600000000004
106,JIProlog,true,true,true,2.630876,75.431832,0.555372
106,SWIProlog,true,false,false,8.03579,68.889729,0.23449
106,ECLiPSe,true,false,false,8.03579,437.51979,0.275747
106,JIProlog,true,false,false,8.03579,924.62917,5.176418
106,SWIProlog,false,true,false,4.785718,37.879883,0.15867799999999999
106,ECLiPSe,false,true,false,4.785718,301.82324200000005,0.277862
106,JIProlog,false,true,false,4.785718,518.58327,1.047625
106,SWIProlog,false,false,true,2.834689,6.433145000000001,0.09026999999999999
106,ECLiPSe,false,false,true,2.834689,128.944638,0.258469
106,JIProlog,false,false,true,2.834689,51.991969,0.955592
106,SWIProlog,false,false,false,4.67676,36.485283,0.190413
106,ECLiPSe,false,false,false,4.67676,286.64343199999996,0.214744
106,JIProlog,false,false,false,4.67676,459.77239199999997,3.649234
106,SWIProlog,true,true,true,2.7609920000000003,9.050269,0.08639100000000001
106,ECLiPSe,true,true,true,2.7609920000000003,142.06093299999998,0.392463
106,JIProlog,true,true,true,2.7609920000000003,76.031281,0.57124
106,SWIProlog,true,false,false,7.448328999999999,67.057178,0.241543
