n,interpreter,optLnot,optIndexing,optAssi,translateMS,loadMS,analyzeMS
11,SWIProlog,false,false,false,4.069201,10.134565,1.073014
11,SWIProlog,true,true,true,4.476473,11.525287,0.08110200000000001
11,SWIProlog,false,false,false,2.926016,6.365443,1.803636
11,SWIProlog,true,true,true,3.860451,10.242467000000001,0.080749
11,SWIProlog,false,false,false,4.036055,6.784704,0.6417630000000001
11,SWIProlog,true,true,true,3.5434479999999997,10.995656,0.104375
12,SWIProlog,false,false,false,4.593894000000001,8.419436,1.232749
12,SWIProlog,true,true,true,3.8410569999999997,14.770422,0.08110200000000001
12,SWIProlog,false,false,false,3.3438670000000004,10.421949,2.137564
12,SWIProlog,true,true,true,4.221178,17.684801,0.128353
12,SWIProlog,false,false,false,3.90876,6.941266,1.1350740000000001
12,SWIProlog,true,true,true,5.087911,18.412603,0.103316
12,SWIProlog,false,false,false,4.048749,10.982610000000001,1.971129
12,SWIProlog,true,true,true,4.930644,12.575028,0.08568600000000001
12,SWIProlog,false,false,false,3.527581,11.473453,1.1713930000000001
12,SWIProlog,true,true,true,4.383381999999999,11.682906999999998,0.087096
13,SWIProlog,false,false,false,3.527581,8.218798000000001,2.368881
13,SWIProlog,true,true,true,5.484958,14.803567999999999,0.131879
13,SWIProlog,false,false,false,5.2011009999999995,11.949838,4.627041
13,SWIProlog,true,true,true,5.285729,12.611348,0.087801
13,SWIProlog,false,false,false,3.427085,8.382412,2.616065
13,SWIProlog,true,true,true,4.044165,13.704460999999998,0.118832
13,SWIProlog,false,false,false,16.076868,7.509332000000001,2.338909
13,SWIProlog,true,true,true,4.052275,18.401671999999998,0.081454
13,SWIProlog,false,false,false,2.648859,7.907084,2.557884
13,SWIProlog,true,true,true,3.601983,21.723324,0.094501
14,SWIProlog,false,false,false,6.8940150000000004,7.806589,6.639425
14,SWIProlog,true,true,true,3.78746,20.322729,0.117775
14,SWIProlog,false,false,false,3.093862,10.536197,4.5008040000000005
14,SWIProlog,true,true,true,3.7373879999999997,12.21007,0.075812
14,SWIProlog,false,false,false,3.207405,7.2205379999999995,4.526897
14,SWIProlog,true,true,true,3.580121,17.018003,0.153388
14,SWIProlog,false,false,false,4.0998779999999995,7.910258,7.262853
14,SWIProlog,true,true,true,3.8333000000000004,15.829683000000001,0.079691
14,SWIProlog,false,false,false,3.019812,8.247712,4.590720999999999
14,SWIProlog,true,true,true,3.58823,13.493243,0.088859
15,SWIProlog,false,false,false,3.980693,10.889166,13.077155000000001
15,SWIProlog,true,true,true,4.353762,19.875258000000002,0.130821
15,SWIProlog,false,false,false,4.9475690000000005,9.373266,11.43537
15,SWIProlog,true,true,true,4.926412999999999,14.018995,0.10649
15,SWIProlog,false,false,false,2.722909,8.51958,9.454367
